fid,CuadrID,latitude,longitude,Area_hec,HIE_FAS,SAL_SAL,ALY_DIC,DIS_JEA,VIP_LAT,CAP_PYR,CAN_LUP,URS_ARC,MUS_LUT,GAL_PYR,ATE_ALG,MAC_CAL,PAR_APO,LUC_CER,APT_APT,LOP,LOP2,LOP3,LALOP2,LA2LOP,LALOP,LA2,LA3,LA,ORS,ORW,ALTI,ALTI2,PEND,PEND2,DAUT,DIHE,DIPR,ESCO,ETP,ETR,HUEN,HUJU,INSO,PERM,PM24,PMR,PREC,RADS,TENE,TJUL,TMED,U100,U500
"928",928,40,-6,12588,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.92905,15.43932,60.67645,631.90216,6581.61426,160.80893,1675.11658,68559.53125,40.92818,94.35332,72.90408,817.64191,668538.28759,0.72791,0.52986,88.49033,68.64865,74.60582,106.62142,728.19873,469.89627,91.75451,67.3848,2739.2915,2.10135,89.66554,0.19124,469.89627,4.3233,4.70309,21.33808,12.97085,35.03132,202.45361
"929",929,41,-6,12242,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.9302,15.44839,60.7304,633.71228,6613.53125,161.22183,1682.75073,69028.74219,41.02134,80.94169,83.15918,812.92145,660841.28029,0.78578,0.61745,85.96035,66.37143,70.44627,90.7998,727.65112,501.9679,92.41183,67.98504,2711.98804,2,81.16183,0.16213,501.9679,4.2947,4.55413,21.44752,13.15689,35.01065,204.09958
"930",930,41,-6,11901,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.93785,15.50836,61.08282,637.59222,6656.01562,161.89624,1690.26672,69491.72656,41.11285,78.77219,90.10976,762.34058,581163.15412,0.99276,0.98557,83.84303,64.24638,69.23815,83.75978,710.80896,523.52258,93.0965,68.57214,2692.33203,2,73.74258,0.14113,523.52258,4.29234,4.3408,21.58588,13.3553,37.27575,205.6626
"931",931,41,-6,11558,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.93432,15.48045,60.91758,637.79004,6678.16748,162.09265,1697.4126,69932.875,41.19966,92.77062,104.0244,766.22961,587107.82183,1.17191,1.37338,78.09688,62.98518,69.06537,84.89945,698.01147,523.81024,93.80024,69.18717,2672.30615,2,67.43692,0.12891,523.81024,4.30973,4.06361,21.73044,13.12684,42.2161,206.7894
"932",932,41,-6,11214,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.93541,15.48903,60.96822,639.55151,6709.54102,162.49544,1704.9176,70397.19531,41.29064,93.77951,100.422,784.39368,615273.4402,0.73496,0.54016,72.18506,62.03937,68.53439,90.17825,686.45044,521.95819,94.38393,69.74555,2652.64331,2,68.34381,0.13093,521.95819,4.34278,3.97178,21.83694,12.72578,48.88277,207.52562
"933",933,41,-6,10869,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.94005,15.52548,61.18262,642.45947,6746.91064,163.0435,1712.39368,70860.73438,41.38107,80.68523,83.45605,775.03101,600673.06011,0.61247,0.37512,67.30788,60.89922,72.97703,115.70227,689.52484,524.36938,94.71132,71.04084,2638.18896,2,71.79849,0.13686,524.36938,4.39097,3.70421,21.91416,12.2675,56.08165,208.87489
"934",934,41,-6,10522,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.94179,15.53913,61.26297,644.383,6778.42725,163.45995,1719.62976,71310.36719,41.46841,81.157,86.24486,717.55463,514884.64201,1.63316,2.66722,60.11289,60.17647,79.23989,139.76141,696.07782,541.71069,94.37685,72.3286,2625.91089,2,75.77094,0.13984,541.71069,4.43451,3.35104,21.88275,11.91648,64.17297,210.15308
"935",935,41,-6,2167,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.48635,12.15496,42.37873,506.6958,6058.41504,145.33322,1737.75586,72440.78906,41.6864,91.46652,98.46626,685.625,470081.64062,2.2369,5.0037,22.00003,50.29167,93.38248,338.37833,741.72137,741.51416,91.6435,76.25689,2686.27808,1,109.17101,0.14188,769.4032,4.59906,3.68107,20.67745,11.34445,106.20142,178.82382
"936",936,41,-6,6993,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.47798,12.09696,42.07742,505.02713,6061.82422,145.19945,1742.91626,72763.73438,41.74824,100.21619,102.64918,681,463761,1.991,3.96408,20.77101,54.14634,96.11688,354.32983,717.36212,717.36212,91.2505,77.07538,2674.90234,1,105.09972,0.13132,799.27985,4.59347,3.46416,20.03412,10.91549,111.73402,180.65331
"937",937,41,-6,5186,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.49471,12.21343,42.68543,510.9274,6115.79736,146.19482,1750.01074,73208.46875,41.83312,103.56123,97.76994,715.48389,511917.19213,2.34269,5.48818,19.61139,59.91935,94.29567,371.01746,684.42389,684.42389,90.82376,76.95362,2636.84009,1,110.14446,0.13792,798.46149,4.57144,3.16058,19.55011,10.26363,114.53916,185.15146
